Cluster,OTU_ID,n,Colour,Degree
6,84905da6611fed3462a8ccb017ad4618,175,#339900FF,1
6,84a23c58636e70158a8023a00735e0d4,175,#339900FF,13
1,84bb14b7d5789e44db2a42378b63d6f8,49,#FAFD7CFF,9
5,84bebb8ac46504f55e1b5f252a5598e1,167,#EEA236FF,9
2,84ce402bbecd33b12a0d464ecd799c90,129,#9632B8FF,15
10,8519b76f278b77ece6ae62a370e156c4,77,darkgrey,3
3,855d4af95a93bb619d125d76b2f6bb87,2,#D43F3AFF,1
8,86cd70d2450e3f44f4a7c543f53008ee,16,#7e7b52,16
6,874571387828381eef4e3630697c1805,175,#339900FF,3
2,8852e538212c224726292171f3bd4859,129,#9632B8FF,64
5,888f2b762f1ecc860945aa56c9ef9d1a,167,#EEA236FF,3
5,88fbdc2700d41cb1a981a78cae02d378,167,#EEA236FF,28
2,891a94802c16b5af10ca85253da037c7,129,#9632B8FF,25
5,89ddf6b0eeaefdace4a24b99ce158ccb,167,#EEA236FF,13
5,8a37ba534383dc2241cce72457f1145e,167,#EEA236FF,5
5,8a4dd24f793ef5640fe3d3c527f8f08e,167,#EEA236FF,6
9,8a4e2880120f77f8278204558414a14a,12,#FDAF91FF,2
2,8a79658cc3d0b1da5dc3381db590e744,129,#9632B8FF,16
4,8c14284152260668849dd8b0f955f95a,116,#357EBDFF,42
2,8c503b9a08b45abca26fb4a1f42d06ee,129,#9632B8FF,28
6,8c7146307628fdf05429ceed76135848,175,#339900FF,17
6,8caf011ca3807d8125032732918a3785,175,#339900FF,33
6,8d1099aaadb680d2bf61e20bc3d5e9a8,175,#339900FF,8
2,8d13a21c6fa4455824b63ed8431a8141,129,#9632B8FF,50
4,8d2293cedcbd19f9e4028a1593fb88cc,116,#357EBDFF,13
5,8d50bdf0a04248310389f6654a8c7407,167,#EEA236FF,8
3,8e2c45f1a8ddec1cd0fa8e727d722ecb,3,#D43F3AFF,2
5,8e7a08af3018107572563eccdad4db45,167,#EEA236FF,18
5,8e844bfdef6d6c162c70bf887ee10022,167,#EEA236FF,3
2,8ea3ec2dc256cb1367ca65c4f93152a9,129,#9632B8FF,31
2,8f2a9ee4af880c70fa4c1639ab060eb2,129,#9632B8FF,1
2,8f9b48e8735052497a39c46c84bab598,129,#9632B8FF,1
10,90200234735fc1318334b124e714275f,77,darkgrey,4
5,9085827b66d4bbbdf872a8b1d23d1740,167,#EEA236FF,7
4,9086da5fc22ec56c760986dc2d982422,116,#357EBDFF,4
2,90de3e4fb75afdaf2ddea7a7b556c9a3,129,#9632B8FF,4
6,90fc078f6a1cc917e3529d765270b60d,175,#339900FF,3
4,90fe265b56e41f38fa28a8dbbbfa12f7,116,#357EBDFF,18
2,912dc151e3ecdf57069e8103e82ca984,129,#9632B8FF,10
5,9135aad5cc6b65a19711a6b48e3ce800,167,#EEA236FF,24
6,9148d1bf182bc0b5c9957fbe1c65e8b2,175,#339900FF,20
7,918a4f744b7ff4b40b33e4a714fe6e2b,48,#E762D7FF,6
6,91d58b4be1593f52ba77ec31806b5107,175,#339900FF,6
2,91dc4689e28a475d539081a8738997de,129,#9632B8FF,16
5,929cd56de39181104b1c59b7e4ba94e4,167,#EEA236FF,1
4,933fcaa35a98b531df3749caef2caa9d,116,#357EBDFF,2
4,93e1e250e143576d995c80e4fbf7358a,116,#357EBDFF,1
2,93f178a72eea5198a7d679b5c07cfd6a,129,#9632B8FF,3
10,93f7d49d27620750d03d49cdf152c61b,77,darkgrey,1
6,947eca43db88bfe1e67c4fb06e4d15a4,175,#339900FF,18
6,94a99e69c6f5040f1f7f0b3a69617972,175,#339900FF,8
3,94b95778661c80deff6669067b14b69f,3,#D43F3AFF,1
2,9502e725b87e0e9c2ee58b624b7f6dd1,129,#9632B8FF,45
2,956f8b6b82a2f229a3aa59d2a1401503,129,#9632B8FF,17
4,95b69504e48f4fbc3d481920851f50d6,116,#357EBDFF,11
6,95c3a36bda79b718ce8c37302080231c,175,#339900FF,2
5,96b79955a2e39659dd7cd5811c5aaa53,167,#EEA236FF,10
2,96fdeab2b972266bc2657f46c218c4eb,129,#9632B8FF,39
10,9700db7bd25a76da718c1f8eb2ccf030,77,darkgrey,9
4,973bbd0c55a6ca9bd2bdaf9f844332b9,116,#357EBDFF,1
2,98a41f8c8b7a74929b34362e498451c2,129,#9632B8FF,54
5,9982f1c35d7c8e4d0f64b966957a2a2b,167,#EEA236FF,28
5,9a6ba1f7104b04c20416cce3e69a7c38,167,#EEA236FF,1
6,9adcffca436947acdcb3c186b0dee0bb,175,#339900FF,57
1,9b6a7459b2c92cee0abfc36d503488b7,49,#FAFD7CFF,10
4,9b6bc114ff1919d7368bad73b25c695e,116,#357EBDFF,6
6,9ba0ef553b307f3ae5e25a0fafb48342,175,#339900FF,14
6,9bbdb9accefe3cf4f38fa0a237f15d43,175,#339900FF,10
4,9bf2f86e5401c2beb1f9b42014c08a42,116,#357EBDFF,14
7,9c042084a6af4050ce9a305624dcd34f,48,#E762D7FF,20
5,9c79acdf427322a7900365a04321b23d,167,#EEA236FF,9
4,9cba04c3054aeda77098f8abbe8cf426,116,#357EBDFF,21
5,9d51f057efcd6b273c11386faf8f1688,167,#EEA236FF,2
2,9d9ef244dea95c2350f483ca7a6575ab,129,#9632B8FF,2
5,9dbb89c8c5f2367b3a1b7f0fa5033786,167,#EEA236FF,1
5,9ded8c371c310dacc99f1babd6651fc3,167,#EEA236FF,11
10,9e17bf5dabf6bb71c9a1d60be770e663,77,darkgrey,32
6,9e180ba738f7d671c351ac91ac620cdd,175,#339900FF,15
4,9e786b1cbaa09a1fcc973e0ca29eebaa,116,#357EBDFF,4
2,9ebabb50cd524f1148965f3290c03686,129,#9632B8FF,31
5,9fca35df2dcb2b4dca5954388f059443,167,#EEA236FF,6
2,9fd7b7764bc46856a688a5b5840231d9,129,#9632B8FF,2
6,9fe8ee1a577549902e19064b96d7c269,175,#339900FF,8
9,a0f129020cc878d262d66f0811f1ba5c,12,#FDAF91FF,6
1,a0f65691fe0f63902306b39a88d3faa2,49,#FAFD7CFF,15
5,a1cf0439a5f46446ec63b95151c1919e,167,#EEA236FF,7
6,a1d1e77ef4ab802ce91eb1e373fc4688,175,#339900FF,11
10,a22f960f7a51b4fac0b777eeff3231a4,77,darkgrey,15
7,a2b73c414910bf63bc8b9b0694dbab7d,48,#E762D7FF,12
10,a2c45679733004eb45e94334e3d5094f,77,darkgrey,32
2,a2c9f0a0d5c8619648f227239058eaef,129,#9632B8FF,4
1,a2cbb8b0ab8b61d19c07fe8efcf32550,49,#FAFD7CFF,14
2,a31465b4de932854f00f3d97f5adb362,129,#9632B8FF,38
5,a347e1e5f5a5a867107c0710798bcdeb,167,#EEA236FF,3
5,a384331d1e534e18519f6da2c747ce84,167,#EEA236FF,1
7,a424f113579829c91a702ee30770b63a,48,#E762D7FF,9
5,a46a1728999fea7710db8781b33c6805,167,#EEA236FF,10
9,a46e9ed898f722b774f8fefd313da008,12,#FDAF91FF,4
