"","296-100-0.22","296-20-0.22","296-40-0.22","296-60-0.22","298-100-0.22","298-200-0.22","298-40-0.22","298-60-0.22","300-100-0.22","300-20-0.22","300-200-0.22","300-40-0.22","300-60-0.22","302-100-0.22","302-200-0.22","302-40-0.22","302-60-0.22","304-100-0.22","304-200-0.22","304-40-0.22","304-70-0.22","306-100-0.22","306-20-0.22","306-200-0.22","306-40-0.22","306-60-0.22","311-100-0.22","311-20-0.22","311-200-0.22","311-40-0.22","311-60-0.22","312-20-0.22","312-200-0.22","312-60-0.22","314-20-0.22","314-200-0.22","314-60-0.22","314-95-0.22","315-100-0.22","315-20-0.22","315-200-0.22","315-40-0.22","315-65-0.22","317-100-0.22","317-20-0.22","317-200-0.22","317-40-0.22","317-60-0.22","319-100-0.22","319-200-0.22","319-40-0.22","319-60-0.22","320-20-0.22","320-60-0.22","321-200-0.22","321-40-0.22","323-70-0.22","324-200-0.22","324-40-0.22","329-20-0.22","329-200-0.22","329-60-0.22","298-20-0.22","323-20-0.22","323-200-0.22","302-20-0.22","321-100-0.22","321-20-0.22","321-60-0.22","323-100-0.22","324-60-0.22","329-100-0.22","329-40-0.22"
"304-70-0.22",1,1,1,1,1,1,1,1,0.4,0.37,1,0.28,0.24,0.19,1,0.05,-1,0.99,1,-0.15,0,0.9,0.97,1,0.94,0.9,0.52,0.8,1,0.83,0.9,0.75,1,0.94,0.73,1,0.98,0.35,1,0.98,1,0.78,0.89,1,0.71,1,0.61,1,1,1,1,1,0.95,-0.35,0.67,0.69,-0.87,0.97,-0.99,0.66,1,1,1,0.88,1,-0.08,1,0.96,0.94,0.91,-0.16,1,0.99
"306-100-0.22",1,1,1,1,1,1,1,1,0.03,1,1,1,1,-0.71,0.84,1,0.78,-0.09,0.95,1,0.9,0,1,0.97,1,0.99,0.99,0.99,0.23,1,1,0.99,0.99,1,1,1,1,-0.58,0.8,1,1,0.9,-0.34,0.84,0.95,1,-0.42,0.02,0.99,1,0.48,0.92,1,0.88,0.14,1,0.95,0.56,0.99,1,1,1,1,1,1,1,0.97,1,0.94,0.79,1,1,1
"306-20-0.22",1,1,1,1,1,1,1,1,1,0.15,1,-0.66,-0.03,1,1,-0.97,0.68,1,1,-0.94,0.97,1,0,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0.89,1,-1,1,-0.99,0.97,1,-0.93,1,0.95,1,1,1,1,1,0.99,0.45,1,0.98,0.72,1,0.93,0.98,1,1,1,0.97,1,-1,1,0.89,1,1,1,1,1
"306-200-0.22",1,1,1,1,1,0.96,1,1,0.99,1,-0.2,1,1,0.99,-0.43,1,1,0.66,-0.7,1,1,0.97,1,0,1,1,1,1,-0.79,1,1,1,-0.9,1,1,0.18,1,1,0.7,1,-0.22,1,1,-0.01,1,-0.27,0.97,0.32,-0.01,-0.15,0.99,0.8,0.98,1,0.92,1,1,-0.35,1,1,0.63,1,1,1,0.92,1,1,1,1,1,1,1,1
"306-40-0.22",1,1,1,1,1,1,1,1,0.99,0.05,1,-0.71,-0.21,1,1,-0.97,0.58,1,1,-0.96,0.94,1,-1,1,0,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0.86,1,-1,1,-1,0.97,1,-0.94,1,0.95,1,1,1,1,1,0.98,0.28,0.99,0.97,0.61,1,0.93,0.98,1,1,1,0.96,1,-1,1,0.88,1,1,1,1,1
"306-60-0.22",1,1,1,1,1,1,1,1,0.97,0.37,1,-0.82,0,1,1,-0.93,0.21,1,1,-0.93,0.9,0.99,-1,1,-1,0,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0.7,1,-1,1,-1,0.94,1,-0.83,1,0.91,1,1,1,1,1,1,0.36,0.99,0.99,0.55,1,0.9,0.99,1,1,1,0.99,1,-1,1,0.97,1,1,1,1,1
"311-100-0.22",1,1,1,1,1,1,1,1,1,0.11,1,-1,-0.68,1,1,-1,0.11,1,1,-1,0.52,0.99,-1,1,-1,-1,0,-1,1,-1,-1,-1,1,-1,-1,1,-1,0.62,1,-1,1,-0.98,0.92,1,-0.72,1,0.8,1,1,1,1,1,1,0.59,0.99,0.96,0.71,1,0.78,0.99,1,1,1,0.9,1,-1,1,0.18,1,1,0.95,1,1
"311-20-0.22",1,1,1,1,1,1,1,0.98,0.98,-0.26,1,-1,-0.72,1,1,-1,0.39,1,1,-0.99,0.8,0.99,-1,1,-1,-1,-1,0,1,-1,-1,-1,1,-1,-1,1,-1,0.66,1,-1,1,-1,0.87,1,-0.9,1,0.8,1,1,1,1,1,0.98,0.6,0.97,0.88,0.44,0.99,0.69,0.95,1,1,1,0.75,1,-1,1,-0.33,0.99,1,0.93,1,1
"311-200-0.22",1,1,1,1,1,0.99,1,1,0.83,1,-0.5,1,1,0.62,-0.23,1,1,0.07,-0.67,1,1,0.23,1,-0.79,1,1,1,1,0,1,1,1,-1,1,1,0.39,1,0.99,0.06,1,0.12,1,0.93,0.52,1,0.45,0.61,-0.47,0.27,0.22,0.41,0.38,0.99,1,0.67,1,1,0.04,1,1,0.72,1,1,1,0.98,1,0.71,1,1,0.98,1,1,1
"311-40-0.22",1,1,1,1,1,1,1,1,0.99,0.04,1,-1,-0.29,1,1,-1,0.55,1,1,-0.99,0.83,1,-1,1,-1,-1,-1,-1,1,0,-1,-1,1,-1,-1,1,-1,0.77,1,-1,1,-0.98,0.92,1,-0.82,1,0.84,1,1,1,1,1,1,0.65,0.99,0.94,0.51,1,0.8,0.97,1,1,1,0.86,1,-1,1,0.31,1,1,0.98,1,1
"311-60-0.22",1,1,1,1,1,1,1,1,1,0.11,1,-0.96,-0.19,1,1,-0.99,0.62,1,1,-0.98,0.9,1,-1,1,-1,-1,-1,-1,1,-1,0,-1,1,-1,-1,1,-1,0.8,1,-1,1,-0.98,0.95,1,-0.84,1,0.9,1,1,1,1,1,0.99,0.71,0.99,0.97,0.61,1,0.82,0.99,1,1,1,0.88,1,-1,1,0.66,1,1,0.99,1,1
"312-20-0.22",1,1,1,1,1,1,1,0.99,0.99,-0.21,1,-1,-0.6,1,1,-1,0.33,1,1,-1,0.75,0.99,-1,1,-1,-1,-1,-1,1,-1,-1,0,1,-1,-1,1,-1,0.6,1,-1,1,-0.98,0.82,1,-0.86,1,0.79,1,1,1,1,1,0.96,0.41,0.96,0.88,0.37,0.99,0.75,0.97,1,1,1,0.74,1,-1,1,-0.26,1,1,0.98,1,1
"312-200-0.22",1,1,1,1,1,1,1,1,1,1,-0.08,1,1,0.99,-0.02,1,1,0.87,-0.91,1,1,0.99,1,-0.9,1,1,1,1,-1,1,1,1,0,1,1,-0.39,1,1,0.59,1,0.1,1,1,-0.59,1,0.31,0.96,0.6,0.09,0.09,0.99,0.78,0.97,1,0.99,1,1,-0.58,1,1,0.64,1,1,1,0.78,1,1,1,1,1,1,1,1
"312-60-0.22",1,1,1,1,1,1,1,1,1,0.24,1,-0.79,0.01,1,1,-0.99,0.6,1,1,-0.97,0.94,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,1,-1,0.84,1,-1,1,-0.98,0.96,1,-0.82,1,0.91,1,1,1,1,1,1,0.76,1,0.98,0.67,1,0.89,0.99,1,1,1,0.91,1,-1,1,0.85,1,1,1,1,1
"314-20-0.22",1,1,1,1,1,1,1,0.97,0.98,-0.29,1,-1,-0.54,1,1,-1,0.28,1,1,-0.99,0.73,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,0,1,-1,0.36,1,-1,1,-1,0.65,1,-0.98,1,0.65,1,1,1,1,1,0.76,-0.38,0.94,0.79,0.24,0.99,0.74,0.89,1,1,1,0.62,1,-1,1,-0.3,0.99,1,0.99,1,1
"314-200-0.22",1,1,1,1,0.95,0.43,1,1,1,1,0.54,1,1,1,0.76,1,1,1,-0.26,1,1,1,1,0.18,1,1,1,1,0.39,1,1,1,-0.39,1,1,0,1,1,0.69,1,-1,1,1,-0.74,1,-1,1,0.47,-0.83,-1,0.99,0.78,-0.47,1,1,1,1,-0.45,1,1,-0.03,1,1,1,0.58,1,1,1,1,1,1,1,1
"314-60-0.22",1,1,1,1,1,1,1,1,1,0.39,1,-1,0.08,1,1,-0.99,0.73,1,1,-0.94,0.98,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,0,0.71,1,-1,1,-1,0.93,1,-0.93,1,0.88,1,1,1,1,1,0.99,0.17,0.99,0.98,0.78,1,0.96,0.99,1,1,1,0.97,1,-1,1,0.54,1,1,1,1,1
"314-95-0.22",1,1,1,1,1,1,1,1,0.55,0.99,1,0.94,0.98,0.11,1,0.95,0.37,0.8,1,1,0.35,-0.58,0.89,1,0.86,0.7,0.62,0.66,0.99,0.77,0.8,0.6,1,0.84,0.36,1,0.71,0,0.82,0.7,1,-0.17,-1,0.94,0.1,1,-0.87,-0.3,0.96,1,0.32,0.89,0.98,0.03,0.73,0.96,0.85,0.9,0.97,0.98,1,1,1,1,1,0.97,0.94,0.98,0.67,0.61,0.96,1,1
"315-100-0.22",1,1,1,1,1,1,1,1,0.82,1,0.84,1,1,0.36,0.45,1,1,0.51,0.52,1,1,0.8,1,0.7,1,1,1,1,0.06,1,1,1,0.59,1,1,0.69,1,0.82,0,1,0.41,1,0.28,-0.99,1,0.26,0,-0.98,-0.77,0.35,-1,-1,0.95,0.99,0.72,1,1,-0.01,1,1,0.54,1,1,1,1,1,0.99,1,1,1,1,1,1
"315-20-0.22",1,1,1,1,1,1,1,1,1,0.48,1,-0.85,0.15,1,1,-0.86,0.8,1,1,-0.74,0.98,1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,1,-1,0.7,1,0,1,-1,0.89,1,-0.94,1,0.89,1,1,1,1,1,0.99,0.2,0.99,0.99,0.86,1,0.98,0.99,1,1,1,0.99,1,-0.98,1,0.5,1,1,1,1,1
